Name,MemoryPosition,Note/CC,Note,MaximumValue,MinimumValue,MidiChannel,Toggle,DMXAddress,Page
P1,26,1,25,127,0,1,0,0,0
P2,28,1,26,127,0,1,0,0,0
P3,30,1,27,127,0,1,0,0,0
P4,32,1,28,127,0,1,0,0,0
P5,24,1,29,127,0,1,0,0,0
P6,22,1,30,127,0,1,0,0,0
P7,20,1,31,127,0,1,0,0,0
P8,18,1,32,127,0,1,0,0,0
P9,10,1,33,127,0,1,0,0,0
P10,12,1,34,127,0,1,0,0,0
P11,14,1,35,127,0,1,0,0,0
P12,16,1,36,127,0,1,0,0,0
P13,8,1,37,127,0,1,0,0,0
P14,6,1,38,127,0,1,0,0,0
P15,4,1,39,127,0,1,0,0,0
P16,2,1,40,127,0,1,0,0,0
B1,23,0,60,127,0,1,0,0,1
B2,17,0,61,127,0,2,0,0,1
B3,21,0,62,127,0,3,0,0,1
B4,19,0,63,127,0,4,0,0,1
B5,27,0,64,127,0,5,0,0,1
B6,29,0,65,127,0,6,0,0,1
B7,25,0,66,127,0,7,0,0,1
B8,31,0,67,127,0,8,0,0,1
B9,7,0,68,127,0,9,1,0,0
B10,1,0,69,127,0,10,1,0,0
B11,5,0,70,127,0,11,1,0,0
B12,3,0,71,127,0,12,1,0,0
B13,11,0,72,127,0,13,1,0,0
B14,13,0,73,127,0,14,1,0,0
B15,9,0,74,127,0,15,1,0,0
B16,15,0,75,127,0,16,1,0,0
B17,0,0,0,127,0,1,0,0,0
B18,0,0,0,127,0,1,0,0,0
B19,0,0,0,127,0,1,0,0,0
B20,0,0,0,127,0,1,0,0,0
J2,0,0,0,127,0,1,0,0,0
T2,0,0,0,127,0,1,0,0,0
J1,0,0,0,127,0,1,0,0,0
T1,0,0,0,127,0,1,0,0,0
F1,0,0,0,127,0,1,0,0,0
F2,0,0,0,127,0,1,0,0,0
Sensor,0,0,0,127,0,1,0,0,0
Switch,0,0,0,127,0,1,0,0,0
Pads,0,0,0,127,0,1,0,0,0
